lot_id,name,start_price,appraised_price,region_code,property_group,is_closed,auction_cnt,is_single_step,no_docs,zaklad_percent,price_vs_appraised,duration_hours,red_flag_score,ensemble_score,xgb_prob,iso_anomaly,url,is_suspicious,flag_type,comment
23333650,KA1735228001/3-1 yer uchastkasi,23985698.3,239856982.9875,UZ-SU,Yer uchastkalari,0,46,0,0,15.0,0.10000000000521143,-1.0,4.5,0.6913,0.99901724,0,https://e-auksion.uz/lot-view?lot_id=23333650,,,
23454675,Бўш ер участкаси - Y1712234-1031974/002,9706570.4,48532852.0,UZ-SI,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,318,0,0,25.0,0.2,-1.0,4.5,0.647,0.9995814,0,https://e-auksion.uz/lot-view?lot_id=23454675,,,
23277392,Y1735218007/103 yer uchastkasi,4635000.0,11362272.5,UZ-SU,Yer uchastkalari,0,26,0,0,12.5,0.40792895963373527,-1.0,4.5,0.6346,0.9991171,0,https://e-auksion.uz/lot-view?lot_id=23277392,,,
23038273,KA1726277046/23-1 yer uchastkasi,764925292.0,764925292.0,UZ-TK,Yer uchastkalari,0,1,1,0,5.0,1.0,-1.0,6.0,0.8795,0.9972088,1,https://e-auksion.uz/lot-view?lot_id=23038273,,,
22758510,Transformator podstantsiyasi KTP  s 63 kVt,25000000.0,25000000.0,UZ-QR,Boshqa mulklar,0,1,1,0,15.0,1.0,-1.0,5.0,0.7992,0.99834657,1,https://e-auksion.uz/lot-view?lot_id=22758510,,,
23468016,Бўш ер участкаси - Y1706242-109337/043,2261880.0,11309400.0,UZ-SA,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,35,0,0,25.0,0.2,-1.0,4.5,0.613,0.9996859,0,https://e-auksion.uz/lot-view?lot_id=23468016,,,
23424549,Surxondaryo viloyati Denov tumani Minora MFY Hazarbog‘  kanali PK43 da mikro GES qurish loyihasi (quvvati 2 kVt),1500.0,1500.0,UZ-QR,Elektr stansiyalarini qurish huquqi,0,17,0,0,15.0,1.0,-1.0,2.5,0.2028,0.0009032566,1,https://e-auksion.uz/lot-view?lot_id=23424549,,,
23335295,KA1722212031/84-1 yer uchastkasi,4218750.0,14074750.0,UZ-QR,Yer uchastkalari,0,36,0,0,25.0,0.29973889411890087,-1.0,4.5,0.6299,0.99939096,0,https://e-auksion.uz/lot-view?lot_id=23335295,,,
23201564,COBALT,143650000.0,143650000.0,UZ-AN,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.9097,0.9980165,1,https://e-auksion.uz/lot-view?lot_id=23201564,,,
23425162,OTOYOL M24 GBA SPG,31906200.0,31906200.0,UZ-BU,Avtotransport,0,22,0,1,5.0,1.0,-1.0,4.5,0.9072,0.99361634,1,https://e-auksion.uz/lot-view?lot_id=23425162,,,
