lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23465852,https://e-auksion.uz/lot-view?lot_id=23465852,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),7091646.4,35458232.0,0.2,52,1,0,0,0,1,0,3782
23460133,https://e-auksion.uz/lot-view?lot_id=23460133,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),1731238.96,8656194.79,0.2000000002310484,276,1,0,0,0,1,1,3782
23332892,https://e-auksion.uz/lot-view?lot_id=23332892,Beshariq tumani,Tadbirkorlik va shaharsozlik uchun,Yer uchastkalari mulk huquqi (71),4647750.0,23893535.0,0.19451914503232778,50,1,0,0,0,1,0,1911
23451580,https://e-auksion.uz/lot-view?lot_id=23451580,Farg`ona tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,6067215.0,30336075.0,0.2,48,1,0,0,0,1,0,3782
23470243,https://e-auksion.uz/lot-view?lot_id=23470243,Uchko`prik tumani,Noturar-joy obyektlari,Odatiy sozlama,2560920076.4,3658457252.0,0.7000000000000001,1,0,0,0,0,0,0,249
23468941,https://e-auksion.uz/lot-view?lot_id=23468941,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),17119539.36,21399424.2,0.8,3,0,0,0,0,0,0,3782
23452339,https://e-auksion.uz/lot-view?lot_id=23452339,Rishton tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,19482959.2,24353699.0,0.7999999999999999,3,0,0,0,0,0,0,3782
23468952,https://e-auksion.uz/lot-view?lot_id=23468952,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),18222446.88,22778058.6,0.7999999999999999,3,0,0,0,0,0,0,3782
23452333,https://e-auksion.uz/lot-view?lot_id=23452333,Rishton tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,26536346.4,33170433.0,0.7999999999999999,3,0,0,0,0,0,0,3782
22958166,https://e-auksion.uz/lot-view?lot_id=22958166,Dang`ara tumani,Yengil,Odatiy sozlama,41795600.0,59708000.0,0.7,1,0,0,0,0,0,0,249
23468971,https://e-auksion.uz/lot-view?lot_id=23468971,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),11657047.28,14571309.1,0.7999999999999999,3,0,0,0,0,0,0,3782
